era_2026_proj,player_id,pitcher_name,year,p_era,xwoba,whiff_percent,hard_hit_percent,barrel_batted_rate,delta_era
3.582824468612671,808963,"Sasaki, Roki",2025,4.46,0.363,22.1,45.4,11.1,-0.8771755313873291
3.583543062210083,607074,"Rodón, Carlos",2025,3.09,0.286,30.3,38.9,7.5,0.49354306221008315
3.5888679027557373,672282,"Detmers, Reid",2025,3.96,0.296,32.7,42.8,8.2,-0.37113209724426266
3.6020967960357666,592773,"Stanek, Ryne",2025,5.3,0.327,27.8,43.6,10.9,-1.6979032039642332
3.6049177646636963,668881,"Greene, Hunter",2025,2.76,0.273,31.4,45,9.6,0.8449177646636965
3.6117584705352783,689266,"Dodd, Dylan",2025,3.6,0.289,30.9,48,8,0.011758470535278231
3.612210750579834,554430,"Wheeler, Zack",2025,2.71,0.247,31.5,34.1,7.2,0.902210750579834
3.6170501708984375,607192,"Glasnow, Tyler",2025,3.19,0.285,28.2,37.4,7.9,0.42705017089843755
3.6371824741363525,681911,"Vesia, Alex",2025,3.02,0.274,30.7,37.7,10.8,0.6171824741363525
3.638678789138794,666171,"Zeferjahn, Ryan",2025,4.74,0.321,30.3,37.2,10.3,-1.1013212108612063
3.639413595199585,640455,"Manaea, Sean",2025,5.64,0.311,26.8,42.6,8.9,-2.0005864048004147
3.6464662551879883,669456,"Bieber, Shane",2025,3.57,0.328,27.9,48.2,12.3,0.07646625518798844
3.6483359336853027,656876,"Rasmussen, Drew",2025,2.76,0.291,22.2,43.3,6.3,0.888335933685303
3.654115676879883,668678,"Gallen, Zac",2025,4.83,0.32,23.7,43,9.7,-1.1758843231201173
3.65765643119812,665871,"Assad, Javier",2025,3.65,0.339,16.5,40.4,3.5,0.007656431198120206
3.6596617698669434,808967,"Yamamoto, Yoshinobu",2025,2.49,0.259,28.9,39.7,5.7,1.1696617698669431
3.6640334129333496,694819,"Misiorowski, Jacob",2025,4.36,0.288,29.7,37.5,7.9,-0.6959665870666507
3.664811134338379,669373,"Skubal, Tarik",2025,2.21,0.258,32.5,33,8.1,1.454811134338379
3.668564796447754,670912,"Oviedo, Johan",2025,3.57,0.316,29.9,35.3,6.9,0.09856479644775407
3.682055711746216,519242,"Sale, Chris",2025,2.58,0.265,30.1,35.4,6.3,1.1020557117462157
3.684094190597534,596133,"Weaver, Luke",2025,3.62,0.269,31,39.9,8.3,0.06409419059753407
3.691833734512329,628452,"Iglesias, Raisel",2025,3.21,0.277,30.9,34.9,8.6,0.48183373451232914
3.693192720413208,643511,"Rogers, Tyler",2025,1.98,0.256,15.9,33.1,2.1,1.713192720413208
3.7002363204956055,656427,"Flaherty, Jack",2025,4.64,0.31,27.3,43.8,10.3,-0.9397636795043942
3.7025036811828613,695505,"Burns, Chase",2025,4.57,0.291,31.9,45.7,9.5,-0.867496318817139
3.7062032222747803,676395,"Garcia, Robert",2025,2.95,0.304,28.6,34.3,7.9,0.7562032222747801
3.70682954788208,681676,"Fernandez, Ryan",2025,7.71,0.313,32.1,43.8,11.2,-4.00317045211792
3.7121407985687256,820862,"Fermin, José",2025,4.46,0.314,33.1,46.1,13.5,-0.7478592014312744
3.723483085632324,571946,"Miller, Shelby",2025,2.74,0.292,31.7,42.5,8.8,0.983483085632324
3.723919153213501,621053,"Ferguson, Tyler",2025,4.66,0.301,26,31.8,6.5,-0.9360808467864992
3.7343616485595703,678495,"Rodríguez, Randy",2025,1.78,0.251,31.1,36.2,7.8,1.9543616485595703
3.734696865081787,656731,"Megill, Tylor",2025,3.95,0.306,30.7,43.8,6.3,-0.21530313491821307
3.7351531982421875,693433,"Woo, Bryan",2025,2.94,0.274,26.2,41.8,9.1,0.7951531982421876
3.7396910190582275,676979,"Crochet, Garrett",2025,2.59,0.266,29.4,37.3,7.3,1.1496910190582277
3.7488296031951904,642207,"Williams, Devin",2025,4.79,0.272,37.7,35.7,9.3,-1.0411703968048096
3.753173828125,664854,"Helsley, Ryan",2025,4.5,0.31,29.5,41.7,7.4,-0.746826171875
3.761874198913574,641401,"Brogdon, Connor",2025,5.55,0.305,29.3,40.2,12.9,-1.7881258010864256
3.767225980758667,702070,"Cameron, Noah",2025,2.99,0.313,26.6,37.4,6.3,0.7772259807586668
3.7675960063934326,664062,"Gonsolin, Tony",2025,5,0.351,30.3,44.9,11.2,-1.2324039936065674
3.768669605255127,686993,"Sterner, Justin",2025,3.18,0.285,30.8,38.9,9.6,0.5886696052551268
3.769723892211914,552640,"Kittredge, Andrew",2025,3.4,0.261,29.8,44.4,6.8,0.36972389221191415
3.772583484649658,666200,"Luzardo, Jesús",2025,3.92,0.285,30.8,37.1,6.6,-0.14741651535034173
3.773098945617676,676508,"Casparius, Ben",2025,4.64,0.3,27.6,31.9,7.1,-0.8669010543823239
3.778031826019287,677952,"Ashcraft, Braxton",2025,2.71,0.289,26.2,38.5,4.6,1.0680318260192871
3.7803754806518555,701542,"Warren, Will",2025,4.44,0.33,24.6,45.3,10.9,-0.6596245193481449
3.7829091548919678,642100,"Speier, Gabe",2025,2.61,0.247,30.9,40.7,9,1.172909154891968
3.7941949367523193,608331,"Fried, Max",2025,2.86,0.287,26.6,37.2,6.9,0.9341949367523195
3.794987678527832,458677,"Wilson, Justin",2025,3.35,0.296,31.9,35.9,7,0.44498767852783194
3.7955799102783203,594798,"deGrom, Jacob",2025,2.97,0.286,30.2,41.9,9.2,0.8255799102783201
3.8042919635772705,571927,"Matz, Steven",2025,3.05,0.287,18.8,40.5,6.3,0.7542919635772707
3.81363582611084,700241,"McGreevy, Michael",2025,4.42,0.333,19.2,40.1,8.8,-0.6063641738891601
3.8183071613311768,691799,"Taylor, Grant",2025,4.91,0.267,30.7,50,5.7,-1.0916928386688234
3.8190009593963623,666157,"Lodolo, Nick",2025,3.33,0.292,27.5,40.5,8.1,0.48900095939636223
3.819720506668091,693313,"Seymour, Carson",2025,4.75,0.367,21.8,44.8,15.5,-0.9302794933319092
3.826143741607666,543056,"Coulombe, Danny",2025,2.3,0.309,27.7,38.3,5.2,1.5261437416076662
3.8281049728393555,676263,"Dreyer, Jack",2025,2.95,0.257,26.7,39.7,5.3,0.8781049728393553
3.8356056213378906,664192,"Lucchesi, Joey",2025,3.76,0.293,19.6,31.7,6.7,0.07560562133789084
3.844660758972168,543135,"Eovaldi, Nathan",2025,1.73,0.272,27.7,38.5,7.4,2.114660758972168
3.848254919052124,666277,"Soriano, George",2025,8.35,0.403,26,44.3,14.8,-4.501745080947876
3.8485231399536133,642701,"Santana, Dennis",2025,2.18,0.292,27.3,37.4,10.5,1.6685231399536131
3.8498692512512207,676661,"Lazar, Max",2025,4.79,0.371,20.3,52.3,9.8,-0.9401307487487793
3.8602957725524902,594902,"Lively, Ben",2025,3.22,0.332,16.2,44.8,10.4,0.64029577255249
3.863687038421631,489446,"Yates, Kirby",2025,5.23,0.318,35.3,42.6,13,-1.3663129615783696
3.8638949394226074,450203,"Morton, Charlie",2025,5.83,0.333,27.9,43.6,8.6,-1.9661050605773926
3.8644330501556396,571510,"Boyd, Matthew",2025,3.21,0.301,23.1,38,9,0.6544330501556397
3.8703577518463135,669438,"Englert, Mason",2025,3.83,0.318,25.1,46.9,9.4,0.040357751846313406
3.87555193901062,680732,"Burke, Sean",2025,4.22,0.342,25.1,42.7,10.4,-0.34444806098937963
3.8850040435791016,621112,"Blackburn, Paul",2025,6.23,0.31,22.5,35.2,7.8,-2.344995956420899
3.8891830444335938,688642,"Agnos, Zach",2025,6.61,0.384,29.4,44.1,12.7,-2.7208169555664066
3.892650604248047,592662,"Ray, Robbie",2025,3.65,0.3,27.8,44.7,9.6,0.24265060424804696
3.906569719314575,673513,"Matsui, Yuki",2025,3.98,0.313,30.3,37.3,9,-0.07343028068542479
3.912208080291748,678692,"Henriquez, Ronny",2025,2.22,0.27,36,42.5,10.9,1.6922080802917479
3.9129815101623535,664076,"Cleavinger, Garrett",2025,2.35,0.281,36,41.2,5.9,1.5629815101623534
3.9138360023498535,657277,"Webb, Logan",2025,3.22,0.295,24.7,40.2,8.3,0.6938360023498533
3.915386438369751,668941,"Romero, JoJo",2025,2.07,0.291,27,35.1,7.1,1.8453864383697511
3.915689468383789,676961,"Boushley, Caleb",2025,6.02,0.37,20.8,50,11.8,-2.1043105316162105
3.918534755706787,669724,"Hanifee, Brenan",2025,3,0.315,16.1,44.6,6.9,0.9185347557067871
3.922785758972168,620454,"Castillo, José",2025,3.94,0.315,22.6,42.6,5.9,-0.017214241027831978
3.9285695552825928,657585,"Garrett, Reed",2025,3.9,0.292,30.5,40.8,4.8,0.028569555282592862
3.92874813079834,700363,"Smith-Shawver, AJ",2025,3.86,0.379,27.1,50.8,12.5,0.06874813079833997
3.9315390586853027,650556,"Abreu, Bryan",2025,2.28,0.289,41.2,45.5,8.3,1.651539058685303
3.93868088722229,681293,"Arrighetti, Spencer",2025,5.35,0.356,27.4,45.1,8.8,-1.4113191127777096
3.944870710372925,572955,"Johnson, Pierce",2025,3.05,0.297,26.2,42.8,8.8,0.894870710372925
3.945146322250366,641755,"Kinley, Tyler",2025,3.96,0.293,31.2,29.6,7,-0.014853677749633754
3.9491608142852783,680694,"Bradish, Kyle",2025,2.53,0.275,34.8,38.2,8.8,1.4191608142852785
3.950357675552368,702674,"Dana, Caden",2025,6.4,0.339,28.2,39.3,11.2,-2.449642324447632
3.9535694122314453,686752,"Pepiot, Ryan",2025,3.86,0.311,26,42.5,9.7,0.09356941223144544
3.9546549320220947,687765,"Spence, Mitch",2025,5.1,0.363,25.7,42.8,11.9,-1.145345067977905
3.968790054321289,666214,"Wentz, Joey",2025,5.6,0.329,23.5,42.8,9.5,-1.6312099456787106
3.968885898590088,592454,"Kahnle, Tommy",2025,4.43,0.328,25.4,37.3,9.2,-0.4611141014099118
3.97002911567688,801403,"Dollander, Chase",2025,6.52,0.347,22.9,40.5,11.5,-2.5499708843231197
3.9722139835357666,607200,"Fedde, Erick",2025,5.49,0.355,18,42.6,7.9,-1.5177860164642336
3.975670099258423,669020,"Rolison, Ryan",2025,7.02,0.364,17.4,38.5,9.5,-3.0443299007415767
3.9807212352752686,669358,"Baz, Shane",2025,4.87,0.306,25.8,39.4,9.5,-0.8892787647247316
3.996392250061035,670280,"Bednar, David",2025,2.3,0.264,31.1,42.1,9,1.6963922500610353
3.998551368713379,518585,"Cruz, Fernando",2025,3.56,0.288,46.5,38.6,8.9,0.43855136871337885
4.000024318695068,687064,"Young, Brandon",2025,6.24,0.32,21.6,42.2,10.2,-2.239975681304932
4.0007219314575195,656234,"Bird, Jake",2025,5.53,0.305,28.1,42.9,8.4,-1.5292780685424807
4.00364875793457,605177,"Chafin, Andrew",2025,2.41,0.29,27.7,37.5,3.4,1.5936487579345702
4.005010604858398,607455,"Banda, Anthony",2025,3.18,0.296,27.2,38.6,8.8,0.8250106048583983
4.008973598480225,683769,"Gaddis, Hunter",2025,3.11,0.298,32.2,39.1,9.5,0.8989735984802247
4.013157844543457,695549,"Jobe, Jackson",2025,4.22,0.341,24.7,43.3,8.7,-0.20684215545654272
4.013595104217529,800048,"Messick, Parker",2025,2.72,0.274,26,29.8,5.8,1.293595104217529
4.015385150909424,693645,"Schlittler, Cam",2025,2.96,0.315,26.1,40.2,8.2,1.0553851509094239
4.019852638244629,623474,"Herget, Jimmy",2025,2.48,0.284,26.9,39.1,7.3,1.539852638244629
4.021108627319336,687888,"Walter, Brandon",2025,3.35,0.282,24.6,38.6,7.2,0.6711086273193358
4.025345325469971,571760,"Heaney, Andrew",2025,5.52,0.362,19.9,43.6,10.2,-1.4946546745300289
4.026674270629883,573124,"Rogers, Taylor",2025,3.38,0.316,23.2,44.4,9.9,0.6466742706298829
4.027009010314941,642232,"Yarbrough, Ryan",2025,4.36,0.32,26.6,34,6.9,-0.3329909896850589
4.035584926605225,643410,"Leiter Jr., Mark",2025,4.84,0.301,29.1,33.3,5.6,-0.8044150733947752
4.050095081329346,608718,"Suter, Brent",2025,4.52,0.314,21.4,32.9,7.8,-0.46990491867065387
