"last_name, first_name",player_id,year,p_win,p_loss,p_era,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Skubal, Tarik",669373,2023,7,3,2.80,0.237,24.6,4.2,40.3,76.823271277,94.322965106,31.3,53
"Englert, Mason",669438,2023,4,3,5.46,0.384,38.9,9.8,44.6,81.579043298,95.155365508,23.6,51.3
"Murphy, Chris",669684,2023,1,2,4.91,0.296,34.5,6.9,33.1,76.340273662,92.992926809,22.6,47.8
"Blanco, Ronel",669854,2023,2,1,4.50,0.343,34,11.8,34.7,77.820547778,93.64306021,33,51.2
"Kirby, George",669923,2023,13,10,3.35,0.305,32,7.5,40.9,78.350455269,94.249794794,22.9,54.5
"Scholtens, Jesse",669947,2023,1,9,5.29,0.338,35.5,8,37.6,79.284771608,93.694755594,20.8,45.2
"Rosenberg, Kenny",670046,2023,2,2,3.82,0.293,29.4,6.9,30.4,76.986203725,93.524386373,23.3,47.3
"Holderman, Colin",670059,2023,0,3,3.86,0.295,28.1,5,43.1,77.63394275,94.453290189,23.2,47.7
"Francis, Bowden",670102,2023,1,0,1.73,0.295,35.9,10.9,41.3,80.045582391,94.268477473,23.2,49.5
"Bednar, David",670280,2023,3,3,2.00,0.263,29.5,5.2,40.5,76.900823176,93.665319353,32.8,54.1
"Ramírez, Yohan",670990,2023,1,0,4.23,0.318,24.8,4.4,31.9,76.120490175,92.872536549,20.6,40.2
"Foley, Jason",671345,2023,3,3,2.61,0.299,29.3,4.4,42,75.64732049,94.552937143,17.9,48.4
"Detmers, Reid",672282,2023,4,10,4.48,0.328,37.2,6.2,41.4,79.273350299,94.457081521,27.1,48.8
"Pérez, Cionel",672335,2023,4,2,3.54,0.304,21.5,2.9,41.9,77.698215952,94.507534048,20,46.2
"Hernández, Carlos",672578,2023,1,10,5.27,0.332,40.3,9.9,44.5,80.354731579,94.334811799,30.4,51.8
"Zerpa, Angel",672582,2023,3,3,4.85,0.322,30.6,8.2,45.5,79.838697727,94.965371527,19.9,49.6
"Senga, Kodai",673540,2023,12,7,2.98,0.305,31.5,6.8,40.6,77.901311034,94.284814148,29.7,45.2
"Bido, Osvaldo",674370,2023,2,5,5.86,0.334,37.1,4.4,37.1,76.658021646,93.273107134,22.7,45
"Curry, Xzavion",675540,2023,3,4,4.07,0.342,38.4,7.5,45.2,82.894754671,94.836293069,20.8,48.9
"Grove, Michael",675627,2023,2,3,6.13,0.342,40.6,9.2,42,78.955299231,94.87688744,27.2,49.5
"Strider, Spencer",675911,2023,20,5,3.86,0.273,40.2,8.2,36.1,77.7258957,93.784333768,38.6,53
"Buttó, José",676130,2023,1,4,3.64,0.306,25.4,2.5,44.1,79.256981724,94.803524224,28.8,45.4
"Abbott, Cory",676265,2023,1,2,6.64,0.345,38.3,11.7,43.3,81.589711667,94.563149916,26.1,47.9
"Miller, Bobby",676272,2023,11,4,3.76,0.288,33.3,6,37.6,77.304123023,93.812180058,26.8,48.2
"Garcia, Robert",676395,2023,2,2,3.66,0.293,29.6,3.7,30.9,72.084018205,93.082525769,24.3,50.4
